raw,specialization,specialization_norm,specialization_score,normalize,r/n_score,standardize,s/n_score
Đại học FPT,Kỹ nghệ phần mềm,ky nghe phan mem,30,dai hoc fpt,45,dai hoc fpt,100
Hult international Business School,International Marketing,international marketing,53,hult international business school,91,None,-1
Trường Đại Học Kinh Tế Tp.HCM,Kế toán - Kiểm toán,ke toan kiem toan,32,dai hoc kinh te hcm,38,dai hoc kinh te   hcm,95
ĐH Công Nghệ Thực Phẩm,Quản Trị Kinh Doanh,quan tri kinh doanh,26,dai hoc cong nghe thuc pham,49,None,-1
Cao Đẳng Nguyễn Văn Trỗi,Du Lịch - Khách sạn,du lich khach san,23,cao dang nguyen van troi,62,None,-1
ĐH công nghiệp thực phẩm,Chế biến thực phẩm,che bien thuc pham,47,dai hoc cong nghiep thuc pham,68,None,-1
Đại học Bách Khoa Hà Nội,Công nghệ sinh học,cong nghe sinh hoc,29,dai hoc bach khoa ha noi,58,dai hoc bach khoa ha noi,100
Đại học Kinh tế Quốc Dân,Tài chính ngân hàng,tai chinh ngan hang,37,dai hoc kinh te quoc dan,62,dai hoc kinh te quoc dan,100
Đại học Bách Khoa Hà Nội,Thạc sỹ công nghệ sinh học,thac sy cong nghe sinh hoc,36,dai hoc bach khoa ha noi,58,dai hoc bach khoa ha noi,100
Viện nghiên cứu Borstel,Tiến sỹ sinh học phân tử tế bào,tien sy sinh hoc phan tu te bao,37,vien nghien cuu borstel,78,None,-1
cao đẳng điện tử điện lạnh hà nội,công nghệ thông tin và truyền thông,cong nghe thong tin truyen thong,44,cao dang dien tu dien lanh ha noi,70,cao dang dien tu   dien lanh ha noi,97
University of Economics HCMC,Thương Mại,thuong mai,16,university of economics hcm,80,None,-1
UNsw,computer enineering,computer enineering,17,unsw,50,None,-1
Đại học Thể dục thể thao ,Bóng rổ,bong ro,6,dai hoc the duc the thao,69,None,-1
đại học quốc tế Hồng Bàng ,ngôn ngữ anh ,ngon ngu anh,32,dai hoc quoc te hong bang,63,dai hoc quoc te hong bang,100
Khoa ngoại ngữ- Đại học Thái Nguyên,Cử nhân Anh ngữ,cu nhan anh ngu,33,khoa ngoai ngu dai hoc thai nguyen,70,None,-1
ĐH Mỏ Địa Chất,Trắc Địa - Địa Chính,trac dia dia chinh,31,dai hoc mo dia chat,36,dai hoc mo   dia chat,95
ĐH Kinh tế Quốc dân,Quản trị doanh nghiệp (MBA),quan tri doanh nghiep,27,dai hoc kinh te quoc dan,56,dai hoc kinh te quoc dan,100
cao đẳng du lịch hà nội,hướng dẫn viên,huong dan vien,38,cao dang du lich ha noi,78,cao dang du lich ha noi,100
Đại học Kinh tế Huế,Quản trị kinh doanh,quan tri kinh doanh,42,dai hoc kinh te hue,63,dai hoc kinh te hue,100
Cao Đẳng Công Nghệ_ Đại Học Đà Nẵng,Kỹ Thuật Xây Dựng Công Trình,ky thuat xay dung cong trinh,29,cao dang cong nghe dai hoc da nang,55,None,-1
Đại học kinh tế Đà Nẵng,Quản trị kinh doanh,quan tri kinh doanh,48,dai hoc kinh te da nang,65,dai hoc kinh te da nang,100
Đại học khoa học công nghệ Lille 1,Cơ khí,co khi,15,dai hoc khoa hoc cong nghe lille 1,79,None,-1
"Đại học tổng hợp Saint-Petersburg, LB Nga",Tiến sỹ kinh tế,tien sy kinh te,29,dai hoc tong hop saint petersburg lb nga,72,None,-1
Đại học giao thông vận tải,Cơ khí ô tô,co khi o to,27,dai hoc giao thong van tai,77,dai hoc giao thong van tai,100
Đại học công nghệ giao thông vận tải,Cơ khí ô tô,co khi o to,21,dai hoc cong nghe giao thong van tai,78,dai hoc cong nghe giao thong van tai,100
Học viện tài chính,Tài chính - Ngân hàng,tai chinh ngan hang,31,hoc vien tai chinh,72,hoc vien tai chinh,100
University of Sunderland,Banking and Financial,banking and financial,31,university of sunderland,92,None,-1
Đại học Sư phạm TP.HCM,Tâm lí học,tam li hoc,28,dai hoc su pham hcm,49,dai hoc su pham   hcm,95
CAO ĐẲNG CÔNG NGHỆ TP HCM,Công Nghệ May,cong nghe may,34,cao dang cong nghe hcm,17,None,-1
DH Nông Lâm,Cảnh quan và kỹ thuật hoa viên,canh quan ky thuat hoa vien,26,dai hoc nong lam,37,None,-1
trường đại học kiến trúc đà nẵng,ngôn ngữ anh,ngon ngu anh,27,dai hoc kien truc da nang,60,dai hoc kien truc da nang,100
Đại học Khoa học Tự nhiên,Vật Lý,vat ly,13,dai hoc khoa hoc tu nhien,68,None,-1
CNTT,CNTT,cntt,0,cntt,0,None,-1
"University of Technology, Swinburne",Master of integrated Marketing,master of integrated marketing,38,university of technology swinburne,90,None,-1
Đại Học Kinh Tế TP. HCM,Quản Trị Kinh Doanh tổng hợp,quan tri kinh doanh tong hop,38,dai hoc kinh te hcm,43,dai hoc kinh te   hcm,95
cao đẳng nghề quy nhơn bình định,cơ khí chế tạo máy,co khi che tao may,28,cao dang nghe quy nhon binh dinh,78,None,-1
Academy of Journalism and Communication,International Relations,international relations,39,academy of journalism and communication,92,None,-1
Đại học Công nghiệp Thực Phẩm Tp.HCM,Quản trị kinh doanh,quan tri kinh doanh,27,dai hoc cong nghiep thuc pham hcm,58,None,-1
THCS QUẢNG CO THÀNH,cấp 2,cap 2,17,thcs quang co thanh,16,None,-1
đại học thể dục thể thao tp hồ chí minh,giáo dục thể chất,giao duc the chat,44,dai hoc the duc the thao hcm,66,dai hoc the duc the thao   hcm,97
Đại học dầu khí Trung Quốc (Bắc Kinh),Kinh tế và thương mại quốc tế,kinh te thuong mai quoc te,44,dai hoc dau khi trung quoc,57,None,-1
THPT Phan Đăng Lưu,điện,dien,9,thpt phan dang luu,50,None,-1
Cao đẳng Công nghiệp Huế,Điện,dien,7,cao dang cong nghiep hue,67,cao dang cong nghiep hue,100
"University of Social Sciences and Humanities, HCMC",Faculty of English Linguistics and Literature,faculty of english linguistics and literature,45,university of social sciences and humanities hcm,84,None,-1
Vinh Kim High School,High school,high school,65,vinh kim high school,80,None,-1
Trường cao đẳng Viễn Đông,điều dưỡng,dieu duong,36,cao dang vien dong,56,cao dang vien dong,100
Đại học Ngoại Thương,Quản trị kinh doanh,quan tri kinh doanh,31,dai hoc ngoai thuong,60,dai hoc ngoai thuong,100
Seoul National Uni,Business,business,23,seoul national uni,83,None,-1
Trường Cao Đẳng điện lực Miền Trung,hệ thống điện,he thong dien,29,cao dang dien luc mien trung,60,cao dang dien luc mien trung,100
Đại học kinh doanh và công nghệ Hà Nội,quản trị kinh doạn,quan tri kinh doan,38,dai hoc kinh doanh cong nghe ha noi,71,dai hoc kinh doanh cong nghe ha noi,100
Đại học BKHN,Điện tử viễn thông,dien tu vien thong,29,dai hoc bach khoa ha noi,28,dai hoc bach khoa ha noi,100
THPT Nghề Phú Lâm,công nghệ thông tin,cong nghe thong tin,38,thpt nghe phu lam,44,None,-1
Đại học Hoa Sen,quản trị nhân sự,quan tri nhan su,32,dai hoc hoa sen,67,dai hoc hoa sen,100
Đại học Lao động xã hội,Quản trị nhân lực,quan tri nhan luc,20,dai hoc lao dong xa hoi,65,dai hoc lao dong   xa hoi,96
cao đẳng tài chính hải quan,quản trị nhà hàng khách sạn,quan tri nha hang khach san,37,cao dang tai chinh hai quan,81,None,-1
Trường Đại học Tài chính - Marketing,quản trị nhà hàng khách sạn,quan tri nha hang khach san,30,dai hoc tai chinh marketing,63,dai hoc tai chinh   marketing,96
Đại Học Thủ Dầu Một,Chuyên ngành Tiếng Anh Thương Mại,chuyen nganh tieng anh thuong mai,23,dai hoc thu dau mot,47,dai hoc thu dau mot,100
Đại Học GTVT TPHCM,Kỹ Thuật Xây Dựng,ky thuat xay dung,26,dai hoc giao thong van tai hcm,21,dai hoc giao thong van tai   hcm,97
Đại học Luật TP.HCM,Luật học,luat hoc,42,dai hoc luat hcm,46,None,-1
Đại học KHXH&NV,Khoa Nhật Bản học,khoa nhat ban hoc,37,dai hoc khoa hoc xa hoi nv,24,None,-1
Đại học Bách Khoa,Quản trị kinh doanh,quan tri kinh doanh,33,dai hoc bach khoa,65,None,-1
Học viện Ngân hàng,Tài chính - Ngân hàng,tai chinh ngan hang,46,hoc vien ngan hang,67,hoc vien ngan hang,100
Đại học quốc tế Hồng Bàng,Kiến trúc sư công trình,kien truc su cong trinh,38,dai hoc quoc te hong bang,64,dai hoc quoc te hong bang,100
Đại học Kiến trúc Thành phố Hồ Chí Minh,Xây dựng dân dụng và công nghiệp,xay dung dan dung cong nghiep,30,dai hoc kien truc hcm,43,dai hoc kien truc   hcm,95
Đại học Tôn Đức Thắng,Công nghệ Sinh học,cong nghe sinh hoc,31,dai hoc ton duc thang,57,dai hoc ton duc thang,100
CĐSP Hà Nam,Giáo dục thể chất,giao duc the chat,35,cao dang su pham ha nam,24,None,-1
Hội mỹ thuật Tp.HcM,Thiết kế mỹ thuật,thiet ke my thuat,54,hoi my thuat hcm,58,None,-1
THPT Quang Trung,t,t,12,thpt quang trung,62,None,-1
Đại học Kinh tế Quốc dân,Kinh tế Quốc tế,kinh te quoc te,46,dai hoc kinh te quoc dan,67,dai hoc kinh te quoc dan,100
Đại học Bách Khoa Thành phố Hồ Chí Minh,Kỹ thuật Hệ thống Công nghiệp,ky thuat he thong cong nghiep,28,dai hoc bach khoa hcm,43,None,-1
Trường Công nghệ Châu Á Thái Bình Dương (AIT),Quản trị kinh doanh,quan tri kinh doanh,43,cong nghe chau a thai binh duong,49,None,-1
Đại học Kiến trúc Hà Nội,Kiến trúc công trình,kien truc cong trinh,41,dai hoc kien truc ha noi,58,dai hoc kien truc ha noi,100
tài chính marketing,Marketing tổng hợp,marketing tong hop,43,tai chinh marketing,89,None,-1
CĐ kinh tế kĩ thuật thương mại,tiếng anh du lịch,tieng anh du lich,34,cao dang kinh te ki thuat thuong mai,67,cao dang kinh te   ky thuat thuong mai,95
Chuyên ngành : Quản trị kinh doanh tổng quát,Đại học Kinh Tế Đà Nẵng,dai hoc kinh te da nang,30,chuyen nganh : quan tri kinh doanh tong quat,82,None,-1
University of Stirling,Media and Communications,media and communications,30,university of stirling,91,None,-1
HCMC University of Architecture,Design and Applied Arts,design and applied arts,30,hcm university of architecture,82,None,-1
Đại học Bách khoa Đà Nẵng,Công nghệ thực phẩm,cong nghe thuc pham,27,dai hoc bach khoa da nang,64,dai hoc bach khoa da nang,100
Học viện tài chính,ngân hàng,ngan hang,30,hoc vien tai chinh,72,hoc vien tai chinh,100
Học Viện Công Nghệ Bưu Chính Viễn Thông,Marketing truyền thông,marketing truyen thong,36,hoc vien cong nghe buu chinh vien thong,59,hoc vien cong nghe buu chinh vien thong,100
Học viện tài chính,tài chính ngân hàng,tai chinh ngan hang,38,hoc vien tai chinh,72,hoc vien tai chinh,100
Central Queensland University (CQU),Financial Planning,financial planning,38,central queensland university,81,None,-1
Đại học Khoa học Huế,"Toán ứng dụng (Tổng hợp Toán- Tin) Có chứng chỉ kế toán, nghiệp vụ sư phạm.",toan ung dung co chung chi ke toan nghiep vu su pham,25,dai hoc khoa hoc hue,65,dai hoc khoa hoc hue,100
đại học khoa học tự nhiên Hà Nội,khoa học môi trường,khoa hoc moi truong,43,dai hoc khoa hoc tu nhien ha noi,69,None,-1
Trường đại học sư phạm tphcm,Tiếng trung,tieng trung,20,dai hoc su pham hcm,60,dai hoc su pham   hcm,95
Đại Học Thăng Long,Quản Trị Kinh Doanh,quan tri kinh doanh,32,dai hoc thang long,61,dai hoc thang long,100
trường cao đẳng nghề TPHCM,quản trị doanh doanh nghiệp vừa và nhỏ,quan tri doanh doanh nghiep vua nho,40,cao dang nghe hcm,51,None,-1
Cao đẳng Hải Dương,sư phạm Toán _ Hóa,su pham toan hoa,28,cao dang hai duong,56,None,-1
Đại học Duy Tân,Kế toán-Kiểm toán,ke toan kiem toan,31,dai hoc duy tan,60,dai hoc duy tan,100
THPT Ngô Gia Tự,học sinh,hoc sinh,26,thpt ngo gia tu,40,None,-1
trường đại học Bình Dương,luật kinh tế,luat kinh te,33,dai hoc binh duong,47,dai hoc binh duong,100
ĐH Kinh doanh và Công Nghệ ,Công Nghệ Thông Tin,cong nghe thong tin,34,dai hoc kinh doanh cong nghe,58,None,-1
ĐH Kinh tế quốc dân,Tài chính doanh nghiệp,tai chinh doanh nghiep,39,dai hoc kinh te quoc dan,60,dai hoc kinh te quoc dan,100
Đại học Kinh tế - Tài chính TPHCM,Tài Chính,tai chinh,26,dai hoc kinh te tai chinh hcm,58,None,-1
Trường Cao Đẳng Công Thương TP.HCM,Công Nghệ Thông Tin,cong nghe thong tin,42,cao dang cong thuong hcm,45,cao dang cong thuong   hcm,96
Trường Đại Học Sư Phạm Kỹ Thuật TP.HCM,Công Nghệ Thông Tin,cong nghe thong tin,21,dai hoc su pham ky thuat hcm,39,dai hoc su pham ky thuat   hcm,97
Trường Cao Đẳng Thương Mại,Logistics,logistics,29,cao dang thuong mai,49,cao dang thuong mai,100
Đại học Quy Nhơn,Điện tử - Viễn thông,dien tu vien thong,39,dai hoc quy nhon,62,dai hoc quy nhon,100
CAO ĐẲNG GIAO THÔNG THÁI NGUYÊN,KINH TẾ-TÀI CHÍNH,kinh te tai chinh,8,cao dang giao thong thai nguyen,16,None,-1
ĐẠI HỌC KINH TẾ QUỐC DÂN,QUẢN TRỊ KINH DOANH,quan tri kinh doanh,14,dai hoc kinh te quoc dan,21,dai hoc kinh te quoc dan,100
Trường Cao đẳng công nghệ TP Đà nẵng,cơ khí chế tạo máy,co khi che tao may,32,cao dang cong nghe da nang,58,None,-1
Học viện Báo chí và Tuyên truyền,PR - Quảng cáo,pr quang cao,23,hoc vien bao chi tuyen truyen,66,hoc vien bao chi tuyen truyen,100
ĐH Tôn Đức Thắng,Tài chính – Ngân hàng,tai chinh ngan hang,43,dai hoc ton duc thang,43,dai hoc ton duc thang,100
Đại học Thương mại,Marketing thương mại,marketing thuong mai,53,dai hoc thuong mai,61,dai hoc thuong mai,100
Đại học Trà Vinh,Quản Trị Kinh Doanh,quan tri kinh doanh,34,dai hoc tra vinh,62,dai hoc tra vinh,100
Đại học Quốc gia Belarus,Quản trị kinh doanh,quan tri kinh doanh,23,dai hoc quoc gia belarus,75,None,-1
Học viện Tài chính LB Nga,Quản trị kinh doanh,quan tri kinh doanh,41,hoc vien tai chinh lb nga,64,None,-1
Trường DH kỹ thuật công nghệ,kỹ sư điện công nghiệp,ky su dien cong nghiep,42,dai hoc ky thuat cong nghe,59,None,-1
Trường Đại học Thương Mại Hà Nội,Kinh tế Thương Mại,kinh te thuong mai,42,dai hoc thuong mai ha noi,46,None,-1
Hong Bang University ,account,account,30,hong bang university,83,None,-1
Đại học kinh tế tpHCM,Tài chính doanh nghiệp,tai chinh doanh nghiep,39,dai hoc kinh te hcm,60,dai hoc kinh te   hcm,95
Đại học kinh tế tpHCM,Tài chính doanh nghiệp,tai chinh doanh nghiep,39,dai hoc kinh te hcm,60,dai hoc kinh te   hcm,95
trường đại học tây nguyên,tài chính ngân hàng,tai chinh ngan hang,38,dai hoc tay nguyen,60,dai hoc tay nguyen,100
thpt bình phú,học sinh,hoc sinh,45,thpt binh phu,93,None,-1
thpt bình phú,học sinh,hoc sinh,45,thpt binh phu,93,None,-1
thpt bình phú,học sinh,hoc sinh,45,thpt binh phu,93,None,-1
FPT University,Marketing,marketing,17,fpt university,71,None,-1
Fpt Polytechnic,Marketing,marketing,17,fpt polytechnic,87,None,-1
thpt trần hưng đạo,thpt,thpt,36,thpt tran hung dao,78,None,-1
"Đại học Hà Nội, Đại học Ngoại Thương","Tiếng Anh, Kinh tế đối ngoại",tieng anh kinh te doi ngoai,41,dai hoc ha noi dai hoc ngoai thuong,56,None,-1
Đại học Sài Gòn,Quản trị kinh doanh,quan tri kinh doanh,35,dai hoc sai gon,53,dai hoc sai gon,100
University of Economics HCM city,Financial And Banking,financial and banking,23,university of economics hcm city,84,None,-1
đh văn hiến,tài chính ngân hàng,tai chinh ngan hang,47,dai hoc van hien,57,dai hoc van hien,100
University of Sunderland,Quản trị kinh doạn,quan tri kinh doan,33,university of sunderland,92,None,-1
học viện tài chính,tài chính ngân hàng,tai chinh ngan hang,38,hoc vien tai chinh,78,hoc vien tai chinh,100
Trường trung cấp Đà Nẵng,Nhà Hàng - Khách Sạn,nha hang khach san,32,trung cap da nang,59,None,-1
Đại Học Lạc Hồng,Công Nghệ Hóa Thực Phẩm,cong nghe hoa thuc pham,36,dai hoc lac hong,50,dai hoc lac hong,100
ĐH Xây Dựng Hà Nội,Khoa Kiến Trúc,khoa kien truc,32,dai hoc xay dung ha noi,39,dai hoc xay dung ha noi,100
ĐH BÌNH DƯƠNG,kiến trúc,kien truc,22,dai hoc binh duong,13,dai hoc binh duong,100
ĐH BÌNH DƯƠNG,kiến trúc,kien truc,22,dai hoc binh duong,13,dai hoc binh duong,100
ĐH BÌNH DƯƠNG,kiến trúc,kien truc,22,dai hoc binh duong,13,dai hoc binh duong,100
da nghi hoc,da nghi hoc,da nghi hoc,100,da nghi hoc,100,None,-1
CAO ĐẲNG CÔNG NGHIỆP QUỐC PHÒNG,TRUNG CẤP CƠ KHÍ,trung cap co khi,13,cao dang cong nghiep quoc phong,16,cao dang cong nghiep quoc phong,100
Trường Đại Học Y Dược Huế,Dược Sĩ,duoc si,16,dai hoc y duoc hue,37,dai hoc y duoc hue,100
Đại Học Cửu Long,Công nghệ thực phẩm,cong nghe thuc pham,29,dai hoc cuu long,56,dai hoc cuu long,100
Đại Học Cần Thơ,Văn bằng 2 chuyên ngành Luật,van bang 2 chuyen nganh luat,28,dai hoc can tho,47,dai hoc can tho,100
Đại học Kinh doanh và công nghệ Hà Nội,Công nghệ thông tin,cong nghe thong tin,37,dai hoc kinh doanh cong nghe ha noi,68,dai hoc kinh doanh cong nghe ha noi,100
đại học xây dựng,dân dụng và công nghiệp,dan dung cong nghiep,31,dai hoc xay dung,69,None,-1
Nguyen Tat Thanh University,Quản trị kinh doanh,quan tri kinh doanh,39,nguyen tat thanh university,85,None,-1
Đại học Giao thông vận tải,Vận tải đa phương thức,van tai da phuong thuc,39,dai hoc giao thong van tai,79,dai hoc giao thong van tai,100
hướng nghiệp Á Âu,chuyên bánh Âu,chuyen banh au,52,huong nghiep a au,71,None,-1
trường Giao thông Vận tải 3,lái xe hạng B2,lai xe hang b2,35,giao thong van tai 3,68,None,-1
Đại học bách khoa Đà Nẵng,Kĩ thuật Điện-Điện Tử,ki thuat dien dien tu,22,dai hoc bach khoa da nang,68,dai hoc bach khoa da nang,100
học viện báo chí và tuyên truyền,quảng cáo,quang cao,16,hoc vien bao chi tuyen truyen,75,hoc vien bao chi tuyen truyen,100
Đại học thương mại,kế toán,ke toan,32,dai hoc thuong mai,67,dai hoc thuong mai,100
Trường Cao Đẳng Thương Mại - Đà Nẵng,Marketing thương mại,marketing thuong mai,47,cao dang thuong mai da nang,48,None,-1
